iter	F1	Logloss
188	0.8806719023	0.3026724341
189	0.8806719023	0.3024338952
190	0.8805758534	0.3021911086
191	0.8809160305	0.3019632442
192	0.8807679721	0.3015427605
193	0.8808640628	0.3012232942
194	0.8811082024	0.300955118
195	0.881012106	0.3006306236
196	0.8811082024	0.3003810264
197	0.881134133	0.3000843695
198	0.8813263525	0.2999083911
199	0.8817884406	0.2995755417
200	0.8814483586	0.2993132595
201	0.8813263525	0.2991284167
202	0.8812302323	0.2988136925
203	0.8814742122	0.2985197386
204	0.8815000545	0.2983297666
205	0.8815000545	0.2981331856
206	0.8818142172	0.2978074852
207	0.8820065431	0.2973094885
208	0.8822503271	0.2969718245
209	0.8823721792	0.2967817903
210	0.8827375763	0.2964343933
211	0.8826158038	0.2961781117
212	0.8828593222	0.2958179537
213	0.8832244009	0.2955822531
214	0.883198954	0.2953105616
215	0.8832244009	0.294991413
216	0.8828848458	0.2946251229
217	0.883198954	0.2943270917
218	0.883198954	0.2942226892
219	0.883391456	0.2938277933
220	0.8837057221	0.2935870529
221	0.8837767117	0.2933664284
222	0.8840453357	0.2931188618
223	0.8838526912	0.2929450416
224	0.8837057221	0.2927679436
225	0.8838020493	0.29232684
226	0.8841669391	0.2920209703
227	0.8846530879	0.2917460631
228	0.8843137255	0.2914827485
229	0.8844100665	0.2911670587
230	0.8848207475	0.2909284554
231	0.8848709291	0.2906088908
232	0.8847494553	0.2904336762
233	0.8845315904	0.2901833222
234	0.8855493847	0.2898485149
235	0.8857671785	0.2896692162
236	0.8860346141	0.2894614212
237	0.8857422939	0.2889928791
238	0.8855244527	0.2885874553
239	0.8857173984	0.288317932
240	0.8859133464	0.287938654
241	0.8861062718	0.2877129819
242	0.8859849722	0.287382599
243	0.8860814637	0.2872031717
244	0.8864205597	0.2869974004
245	0.8868561472	0.2866727489
246	0.8869773519	0.2863876461
247	0.8873408077	0.2861050281
248	0.8872442316	0.2858853894
249	0.8873653281	0.2857437411
250	0.8871967802	0.2854170434
251	0.88794604	0.2849970484
252	0.8878250462	0.2847240504
253	0.8876074421	0.284492056
254	0.8878250462	0.2842601727
255	0.8879947803	0.2839840057
256	0.8887680765	0.2835878562
257	0.8895171814	0.2832323926
258	0.8894204632	0.282915382
259	0.8896379254	0.2827591387
260	0.8902412519	0.2825157499
261	0.8899032714	0.2822429066
262	0.8900478053	0.2819216594
263	0.8900478053	0.2816123489
264	0.8902412519	0.281317638
265	0.8902412519	0.2811910454
266	0.8905315795	0.2810429538
267	0.8907727421	0.2808425677
268	0.8911106281	0.2805671551
269	0.8912311203	0.2803733036
270	0.8915688831	0.2800316678
271	0.8915924397	0.2797739284
272	0.8920534841	0.2794653363
273	0.8924146925	0.2791049963
274	0.8925116835	0.2787314623
275	0.8927523634	0.278489457
276	0.8928726641	0.2782986571
277	0.8929696838	0.278125942
278	0.8928726641	0.2778923974
279	0.8931131871	0.2774649082
280	0.8929929386	0.2771363201
281	0.8930161833	0.2769029183
282	0.8928726641	0.2765864546
283	0.8929696838	0.2763314416
284	0.8928493806	0.2760881278
285	0.8936447583	0.2758446232
286	0.8938850874	0.2756432718
287	0.8939821855	0.2754196255
288	0.8940793047	0.2751324981
289	0.8940793047	0.2749129813
290	0.8941994352	0.2746761286
291	0.8941534449	0.2743959602
292	0.8944909269	0.2741527241
293	0.8944909269	0.2739614167
294	0.894588133	0.2737662676
295	0.8951428882	0.2734328898
296	0.8952401652	0.2730806009
297	0.895749538	0.2728217522
298	0.8956748533	0.2726190321
299	0.895554831	0.2723977425
300	0.8956748533	0.2721015529
301	0.8958921973	0.2718225283
302	0.8957721987	0.27161813
303	0.8961843679	0.2713562334
304	0.8966191977	0.2710604938
305	0.8964693102	0.2708485296
306	0.8968064306	0.2706544533
307	0.8963719313	0.2703955671
308	0.8968288445	0.2701484998
309	0.8967090257	0.2699707904
310	0.8969262518	0.26964252
311	0.8977198697	0.2693887138
312	0.8974804518	0.2690499816
313	0.8977951559	0.2687513979
314	0.8976976542	0.2685601949
315	0.8977951559	0.268309626
316	0.8976976542	0.2681327612
317	0.8982517103	0.2678392743
318	0.898805646	0.2675854168
319	0.8987300554	0.2674170458
320	0.8991423298	0.2671210419
321	0.8993376045	0.266939267
322	0.899532964	0.266582089
323	0.8994352737	0.2663795241
324	0.8995765932	0.266245235
325	0.8996742671	0.2659860998
326	0.8996742671	0.2656741956
327	0.8997178207	0.2653197372
328	0.9000325627	0.2652392443
329	0.9004667318	0.2649414247
330	0.9009556907	0.2646805007
331	0.9008578564	0.2644218318
332	0.9009771987	0.2640027445
333	0.9011728931	0.2637272882
334	0.9017265718	0.263354038
335	0.9018671298	0.2631024476
336	0.9021609295	0.262871751
337	0.9025952872	0.2626511408
338	0.9026933102	0.2624200281
339	0.9028124661	0.2622734368
340	0.9030717464	0.2620110678
341	0.9033868867	0.2618306254
342	0.9038419796	0.2616475906
343	0.9037230001	0.2614861746
344	0.9037438958	0.2613315368
345	0.9036458333	0.2611534045
346	0.9039400847	0.2609250506
347	0.9041571692	0.2606743023
348	0.9037020953	0.2603291649
349	0.904038211	0.2601245331
350	0.9040173724	0.2598694987
351	0.9038983603	0.259632154
352	0.9039400847	0.2593691878
353	0.9043742538	0.2591148824
354	0.9046120456	0.258848785
355	0.904296875	0.2584794026
356	0.9046327438	0.2582714282
357	0.9045346062	0.2580331084
358	0.9045346062	0.2578538815
359	0.9048703764	0.2577041735
360	0.9054024734	0.2574623686
361	0.9055621815	0.2572274265
362	0.9062330623	0.257079277
363	0.905799458	0.256845138
364	0.9060366316	0.2566885625
365	0.905799458	0.2564254846
366	0.9057790307	0.25616077
367	0.9060941227	0.255956152
368	0.905856833	0.2557351216
369	0.9060941227	0.2555550337
370	0.9060366316	0.2551902204
371	0.9062533868	0.2550258009
372	0.906470142	0.2548583115
373	0.906470142	0.2546242715
374	0.9066868971	0.2544396723
375	0.9067071189	0.2542036619
376	0.906470142	0.253932022
377	0.9065683937	0.2537979609
378	0.9066868971	0.2536469896
379	0.9070623917	0.2533519393
380	0.9072008663	0.2532189292
381	0.9070825211	0.253041767
382	0.9071807646	0.2528569167
383	0.9074174337	0.2526233893
384	0.907555748	0.2524577339
385	0.9076540002	0.252254768
386	0.9074174337	0.2520129649
387	0.9070623917	0.2517603307
388	0.9071606543	0.2516088054
389	0.907397379	0.2513767161
390	0.907397379	0.2512548394
391	0.9076340011	0.2510637072
392	0.9079688177	0.2508429802
393	0.9078505685	0.2506572264
394	0.9080870412	0.2504061852
395	0.9088744589	0.2500878784
396	0.9091105821	0.2499333091
397	0.9091105821	0.2497359769
398	0.9092286054	0.2495161554
399	0.9093466032	0.2492376304
400	0.9092286054	0.2491414856
401	0.9088941787	0.2489778009
402	0.9091302466	0.2487410273
403	0.9092482423	0.2485132089
404	0.9095629598	0.2482260528
405	0.9096809086	0.2479985219
406	0.9095629598	0.2477947005
407	0.9096809086	0.2476077903
408	0.9098378378	0.2473586498
409	0.9099362093	0.2471568423
410	0.9100540541	0.2468693971
411	0.9100540541	0.2466278084
412	0.9103686885	0.2464463775
413	0.9103686885	0.2463449392
414	0.9102702703	0.2461582833
415	0.9103880662	0.2459746576
416	0.9105058366	0.2458024803
417	0.9107220061	0.2456502248
418	0.9108204518	0.2454293677
419	0.9111351351	0.2452164799
420	0.9113513514	0.2449560473
421	0.9115675676	0.244816092
422	0.9114498865	0.2446547459
423	0.9115675676	0.2444721067
424	0.9114498865	0.2441246739
425	0.9115675676	0.2439734807
426	0.9116470207	0.2437068039
427	0.9114498865	0.2435246502
428	0.9117837838	0.2433052483
429	0.9116661261	0.2431260792
430	0.9118028534	0.242929794
431	0.9121366043	0.2427565209
432	0.9122541604	0.2424263547
433	0.9125877904	0.2422265602
434	0.9127052723	0.2419579711
435	0.9122920717	0.2417060052
436	0.9124095475	0.2415743793
437	0.9127429806	0.2414331603
438	0.9128603822	0.2412550394
439	0.9130763416	0.2410992846
440	0.9133909287	0.2409603887
441	0.9138228942	0.2406904947
442	0.9138228942	0.2404855578
443	0.9136442142	0.240332418
444	0.9137428479	0.2402287048
445	0.9138601036	0.2400796698
446	0.9139587607	0.2399459145
447	0.9140203068	0.2398322028
448	0.914057439	0.2396143948
449	0.913588248	0.2395459609
450	0.9139215898	0.2392609666
451	0.9144893112	0.2391121416
452	0.914372098	0.2388982035
453	0.9144708423	0.2386738085
454	0.9151187905	0.2384147205
455	0.9151187905	0.238297168
456	0.9149028078	0.2381735875
457	0.9152359356	0.2380165492
458	0.9153347732	0.2378208531
459	0.9154336321	0.2376379004
460	0.9158838138	0.2373264573
461	0.9161806006	0.237156896
462	0.9163157326	0.2368725954
463	0.9164146868	0.2367175988
464	0.9162976563	0.2364945257
465	0.9163966299	0.2362956535
466	0.9166126593	0.236205316
467	0.9167296684	0.2360441644
468	0.9169994603	0.2358718566
469	0.9171342253	0.2357459799
470	0.917548025	0.2356196314
471	0.9174668249	0.2354818585
472	0.9176825979	0.2353867484
473	0.9179797108	0.2352051277
474	0.9176648322	0.2349932999
475	0.917413365	0.2347144574
476	0.9177638679	0.2344929184
477	0.9177638679	0.2343500177
478	0.9178806518	0.2341289958
479	0.917862925	0.2340011862
480	0.9180964713	0.233850647
481	0.9185281105	0.233559846
482	0.9186096718	0.2333349942
483	0.9188605956	0.2331951923
484	0.9192104412	0.2329605927
485	0.9192104412	0.2327305226
486	0.9197757171	0.2324010443
487	0.9200086244	0.2322579943
488	0.9200086244	0.2321106323
489	0.9202242346	0.231891354
490	0.9204741379	0.2317345475
491	0.9210384574	0.2314755207
492	0.9208230098	0.231221931
493	0.9209392503	0.2310544541
494	0.9210384574	0.230827145
495	0.9213870342	0.2306357555
496	0.921270867	0.2304181518
497	0.9210384574	0.2302018705
498	0.9216192937	0.2299078108
499	0.9213870342	0.2297692705
